d6a75254,25/03/2018 16:15:14,granted
d6a75254,25/03/2018 16:15:20,granted
d6a75254,25/03/2018 16:15:24,granted
42b22f2,25/03/2018 16:15:33,granted
42e602,25/03/2018 16:15:42,granted
451352a,25/03/2018 16:15:45,granted
42e812,25/03/2018 16:15:47,granted
46057ca,25/03/2018 16:15:50,denied
4c5ef2,25/03/2018 16:15:53,denied
42e882a,25/03/2018 16:15:55,denied
41358f2,25/03/2018 16:15:58,denied
475551a,25/03/2018 16:16:01,granted
475551a,25/03/2018 16:16:10,granted
4c5ef2,25/03/2018 16:16:17,denied
46057ca,25/03/2018 16:18:15,denied
475551a,25/03/2018 16:18:17,granted
d6a75254,25/03/2018 17:20:29,granted
d6a75254,25/03/2018 17:20:33,granted
d6a75254,25/03/2018 17:20:48,granted
d6a75254,25/03/2018 17:20:53,granted
d6a75254,25/03/2018 17:21:08,granted
d6a75254,25/03/2018 17:21:17,granted
d6a75254,25/03/2018 17:21:25,granted
d6a75254,25/03/2018 17:25:21,granted
46057ca,25/03/2018 17:25:26,denied
d6a75254,25/03/2018 17:44:58,granted
46057ca,25/03/2018 17:45:02,denied
46057ca,25/03/2018 17:45:05,denied
d6a75254,25/03/2018 17:45:07,granted
46057ca,25/03/2018 17:45:09,denied
d6a75254,25/03/2018 17:45:11,granted
475551a,25/03/2018 17:45:16,granted
d6a75254,25/03/2018 17:45:19,granted
46057ca,25/03/2018 17:45:49,granted
d6a75254,25/03/2018 17:45:52,granted
46057ca,25/03/2018 17:49:23,granted
d6a75254,25/03/2018 17:49:27,granted
46057ca,25/03/2018 17:49:46,denied
46057ca,25/03/2018 19:25:39,denied
d6a75254,25/03/2018 19:25:43,granted
46057ca,25/03/2018 20:39:28,denied
d6a75254,25/03/2018 20:39:33,granted
46057ca,25/03/2018 20:39:44,denied
d6a75254,25/03/2018 20:39:47,granted
d6a75254,25/03/2018 20:39:50,granted
46057ca,25/03/2018 20:39:52,denied
46057ca,25/03/2018 20:46:58,denied
46057ca,25/03/2018 20:47:00,denied
d6a75254,25/03/2018 20:47:04,granted
d6a75254,25/03/2018 20:47:06,granted
46057ca,25/03/2018 21:24:10,denied
4c5ef2,25/03/2018 21:24:13,denied
d6a75254,25/03/2018 21:24:16,granted
46057ca,25/03/2018 21:55:31,denied
d6a75254,25/03/2018 21:55:35,granted
46057ca,26/03/2018 00:00:44,denied
d6a75254,26/03/2018 00:00:53,granted
4c5ef2,26/03/2018 00:44:56,denied
46057ca,26/03/2018 00:44:59,denied
d6a75254,26/03/2018 00:45:06,granted
4c5ef2,27/03/2018 22:08:54,denied
d6a75254,27/03/2018 22:08:57,granted
d6a75254,27/03/2018 22:09:01,granted
d6a75254,27/03/2018 22:49:32,granted
4c5ef2,27/03/2018 22:49:38,denied
475551a,29/03/2018 23:33:44,granted
475551a,29/03/2018 23:34:21,granted
41358f2,29/03/2018 23:34:29,denied
41358f2,29/03/2018 23:34:32,denied
475551a,29/03/2018 23:34:35,granted
d6a75254,30/03/2018 00:21:52,granted
d6a75254,26/03/2018 00:00:47,granted
d6a75254,26/03/2018 00:01:22,denied
d6a75254,26/03/2018 00:01:29,granted
