46057ca,01/04/2018 08:24:15,denied
d6a75254,01/04/2018 08:24:19,granted
46057ca,01/04/2018 17:47:40,denied
d6a75254,01/04/2018 17:47:45,granted
d6a75254,01/04/2018 18:28:33,granted
d6a75254,01/04/2018 18:28:37,granted
46057ca,01/04/2018 18:28:41,denied
46057ca,01/04/2018 18:32:15,denied
46057ca,01/04/2018 18:32:17,denied
46057ca,01/04/2018 18:32:20,denied
46057ca,01/04/2018 18:32:28,denied
46057ca,01/04/2018 18:32:30,denied
d6a75254,01/04/2018 18:32:35,granted
46057ca,01/04/2018 19:52:00,denied
d6a75254,01/04/2018 19:52:04,granted
46057ca,01/04/2018 20:17:58,denied
d6a75254,01/04/2018 20:18:05,granted
46057ca,02/04/2018 21:55:45,denied
1234,02/04/2018 21:55:51,denied
1234,02/04/2018 21:56:13,denied
1234,02/04/2018 21:56:17,denied
d6a75254,02/04/2018 21:56:25,granted
1234,02/04/2018 21:56:36,denied
1234,02/04/2018 21:56:58,denied
1234,02/04/2018 21:57:04,denied
1234,02/04/2018 21:57:28,denied
1234,02/04/2018 21:57:46,granted
1234,02/04/2018 22:03:21,granted
46057ca,02/04/2018 22:59:09,denied
d6a75254,06/04/2018 22:16:20,denied
d6a75254,06/04/2018 22:16:23,denied
d6a75254,06/04/2018 22:16:45,granted
475551a,06/04/2018 22:22:44,granted
46057ca,06/04/2018 22:22:49,denied
d6a75254,06/04/2018 22:22:52,granted
d6a75254,14/04/2018 10:24:24,granted
d6a75254,14/04/2018 10:24:26,granted
d6a75254,14/04/2018 10:24:28,granted
d6a75254,14/04/2018 10:29:35,granted
d6a75254,14/04/2018 10:30:09,denied
d6a75254,14/04/2018 10:30:17,granted
d6a75254,14/04/2018 11:15:50,denied
d6a75254,14/04/2018 11:43:28,granted
475551a,14/04/2018 11:43:33,granted
475551a,14/04/2018 11:43:43,granted
42e812,14/04/2018 11:43:45,granted
451352a,14/04/2018 11:43:48,granted
42e602,14/04/2018 11:43:51,granted
42b22f2,14/04/2018 11:43:53,granted
46057ca,14/04/2018 11:43:57,denied
d6a75254,14/04/2018 11:48:13,granted
46057ca,14/04/2018 11:48:21,denied
d6a75254,14/04/2018 11:48:46,granted
d6a75254,14/04/2018 12:01:05,denied
d6a75254,14/04/2018 12:01:09,denied
1234,14/04/2018 12:18:01,granted
1234,14/04/2018 12:18:04,granted
1234,14/04/2018 12:18:07,granted
d6a75254,14/04/2018 12:32:05,denied
d6a75254,14/04/2018 12:32:20,granted
d6a75254,14/04/2018 13:10:16,granted
d6a75254,14/04/2018 13:17:23,granted
d6a75254,14/04/2018 13:17:31,granted
d6a75254,14/04/2018 13:36:30,granted
d6a75254,14/04/2018 13:37:55,granted
d6a75254,14/04/2018 13:42:32,granted
d6a75254,14/04/2018 13:42:41,granted
d6a75254,14/04/2018 13:43:00,granted
d6a75254,14/04/2018 13:43:07,granted
46057ca,14/04/2018 13:43:18,denied
d6a75254,14/04/2018 13:50:57,granted
d6a75254,14/04/2018 13:53:39,granted
d6a75254,14/04/2018 13:58:34,granted
d6a75254,14/04/2018 14:37:55,granted
d6a75254,14/04/2018 14:38:15,granted
d6a75254,14/04/2018 14:38:30,granted
d6a75254,14/04/2018 14:38:34,granted
d6a75254,14/04/2018 14:38:37,granted
46057ca,14/04/2018 14:38:47,denied
42e882a,14/04/2018 14:38:53,denied
4c5ef2,14/04/2018 14:38:59,denied
41358f2,14/04/2018 14:39:04,denied
42b22f2,14/04/2018 14:39:40,granted
42e602,14/04/2018 14:39:43,granted
451352a,14/04/2018 14:39:47,granted
42e812,14/04/2018 14:39:50,granted
475551a,14/04/2018 14:39:52,granted
d6a75254,14/04/2018 14:39:59,granted
d6a75254,14/04/2018 15:54:33,granted
d6a75254,14/04/2018 20:20:34,denied
d6a75254,14/04/2018 20:20:43,granted
d6a75254,14/04/2018 22:45:43,granted
d6a75254,14/04/2018 22:45:47,granted
d6a75254,14/04/2018 22:45:52,granted
d6a75254,14/04/2018 23:05:03,granted
d6a75254,14/04/2018 23:05:12,granted
d6a75254,14/04/2018 23:05:41,granted
d6a75254,14/04/2018 23:05:49,denied
d6a75254,14/04/2018 23:06:04,granted
d6a75254,14/04/2018 23:06:48,granted
d6a75254,14/04/2018 23:06:50,granted
d6a75254,15/04/2018 19:50:37,granted
d6a75254,15/04/2018 21:52:21,granted
d6a75254,15/04/2018 21:52:24,granted
d6a75254,16/04/2018 07:35:50,granted
d6a75254,26/04/2018 23:38:34,granted
46057ca,26/04/2018 23:38:39,denied
46057ca,26/04/2018 23:38:43,denied
46057ca,26/04/2018 23:38:55,granted
46057ca,26/04/2018 23:39:06,denied
46057ca,26/04/2018 23:39:22,denied
d6a75254,26/04/2018 23:39:26,granted
1234,26/04/2018 23:39:54,granted
1234,26/04/2018 23:39:58,granted
d6a75254,26/04/2018 23:40:20,granted
